feature,ks_stat,ks_pval,mw_pval,cohens_d,SCZ_mean,Non SCZ_mean,SCZ_std,Non SCZ_std,-log10_ks_p
rh_parsorbitalis_FW,0.4041608876560333,1.2617822787042717e-06,2.6338031622979596e-07,0.7520203218279983,0.36679082086953535,0.40704350847170684,0.0554657607050218,0.05151338045856645,5.899015576403005
lh_parsopercularis_PF,0.4023578363384189,1.4390436406594444e-06,7.661379358319413e-07,0.7781883166756975,0.35054732414172823,0.386184031608915,0.047352916108069174,0.04418104789133016,5.84192603538223
rh_isthmuscingulate_PF,0.4001386962552011,1.673612389963856e-06,1.1226850224334533e-07,0.829028845168221,0.3411170470438932,0.38154216668578583,0.05078761698490092,0.04664854553099548,5.776345117664029
rh_superiorfrontal_PF,0.39778085991678225,1.991341693062604e-06,1.5571964211330823e-08,0.8514385132551809,0.3473240827115321,0.3861779966038051,0.04819724104588034,0.042916366854105215,5.7008542132627325
rh_lateraloccipital_PF,0.39611650485436894,2.22682360308304e-06,1.0990794291947728e-09,0.9425284117748632,0.3443942973407756,0.38446308629969533,0.043950983626900815,0.041022617373712364,5.652314184062425
rh_rostralanteriorcingulate_MD,0.38876560332871013,3.756307404603964e-06,1.8367260665135453e-06,0.7388375497589948,1.1028501060966065,1.1945122139256017,0.1294921043363188,0.11838434288250263,5.425238873631624
rh_middletemporal_MD,0.3869625520110957,4.215517795437724e-06,1.4488699789281185e-08,1.0208049377895698,0.8862841380650962,1.043810585734274,0.14952039296038505,0.1589668365620347,5.375149073022641
rh_isthmuscingulate_MK,0.3836338418862691,5.332080343345857e-06,2.1887762493703034e-08,0.9568924792165224,1.070378808841666,1.1898277843695209,0.11840231578995426,0.13094271646267208,5.273103315295522
rh_rostralanteriorcingulate_PF,0.38238557558945907,5.761794344841026e-06,2.0891686368091054e-07,0.7911642438264009,0.3445180625285834,0.38362890146861606,0.051059856931815674,0.047753933039425024,5.239442247009207
rh_lingual_MD,0.38072122052704577,6.444085296471007e-06,3.481025322358406e-07,0.802907679821799,1.051107867579496,1.1421974652645484,0.11589432927319654,0.11095112430373351,5.190838719720616
rh_parahippocampal_MD,0.37905686546463246,7.257235229662773e-06,1.0139123584153589e-07,0.9472852909458929,1.0130094881199707,1.1854807236094347,0.18785845689583547,0.17608919086916694,5.139228799849579
lh_superiortemporal_PF,0.37115117891816923,1.1900202184975601e-05,8.028551621361482e-06,0.727101739527267,0.34254575232133644,0.3780785845241548,0.05172309465496447,0.045837822353316536,4.9244456598618145
rh_insula_FW,0.3710124826629681,1.2296322527635637e-05,7.661379358319413e-07,0.7465115855426311,0.37027220018241447,0.40961006129728894,0.05580217263651751,0.04939398618332298,4.910224753987866
rh_parsorbitalis_MD,0.3710124826629681,1.2296322527635637e-05,5.748774226505978e-07,0.8568150159282153,1.0430268104388087,1.1616978202804535,0.13350063479938296,0.14332989159610424,4.910224753987866
rh_temporalpole_MK,0.3664355062413315,1.655622278790084e-05,2.8991802244246e-06,0.7537053771800096,0.9717200386685734,1.1348254198389005,0.20588470398347875,0.22643646225925537,4.781038738172161
lh_insula_PF,0.36601941747572814,1.6609647612898204e-05,6.533896538669072e-07,0.8141944384319582,0.34531088732230275,0.38391479838935005,0.05030989391635064,0.04432852969585241,4.779639581359396
lh_inferiortemporal_MK,0.3653259361997226,1.7842990821966818e-05,0.00024294121305511564,0.5828054422575102,1.0408358730417522,1.1137263724195923,0.12100980160055438,0.12899922023342728,4.748532347907732
rh_superiortemporal_PF,0.361997226074896,2.161451852496075e-05,4.1338295043607944e-08,0.8376056793867569,0.34823694975905994,0.3843771978031419,0.045984979200587126,0.04010890828181046,4.6652544341660285
rh_parstriangularis_PF,0.36185852981969485,2.220653144609256e-05,2.677607636582386e-07,0.7840939446418725,0.3506821238845452,0.38394039656082096,0.04451495732086311,0.04020800702093087,4.653519270873419
rh_lateralorbitofrontal_FW,0.35963938973647713,2.563563820662872e-05,5.915998619958579e-06,0.7311711068990449,0.3667789526399414,0.406356161122675,0.057817020729928184,0.05016956302369224,4.591155866202243
rh_middletemporal_MK,0.3561719833564494,3.187684600673646e-05,1.2851754231904747e-07,0.9180249871547388,0.9182407697443896,1.054789941880014,0.13768866921655928,0.15902952430226613,4.4965246555830864
lh_medialorbitofrontal_PF,0.3482662968099861,5.133561058057148e-05,0.00043476011336382984,0.5512857336778223,0.33441274909543245,0.3671837933939393,0.06349662342719355,0.05509569986590309,4.289581268156448
lh_medialorbitofrontal_FW,0.34368932038834954,6.791192960347728e-05,0.001133340911531578,0.5082309372757431,0.3588236791561293,0.3910293652720236,0.06766683833795024,0.058755933673934786,4.1680539296092824
rh_entorhinal_PF,0.3420249653259362,7.42854019438002e-05,1.3072603182201305e-06,0.7851639300085412,0.34393468184797504,0.3825426162161014,0.05087531844479774,0.04740713519735603,4.129096522419044
lh_caudalanteriorcingulate_PF,0.3420249653259362,7.42854019438002e-05,2.4548629886026843e-06,0.7306473680646367,0.3330767575862262,0.3763070284976993,0.0602818367864056,0.05803091198976159,4.129096522419044
rh_temporalpole_MD,0.3418862690707351,7.651375086371683e-05,3.385328480052375e-05,0.6541636885081429,0.9811700977233478,1.1309325734908169,0.22422871128957,0.23355100026000036,4.1162605074925045
rh_isthmuscingulate_FW,0.34133148404993063,7.909447153898726e-05,3.295090578179662e-05,0.6722571857758503,0.3621632255955089,0.4005870095047067,0.059510990583170865,0.05470049762997039,4.101853871293978
rh_precuneus_PF,0.34008321775312067,8.47245881025258e-05,8.293230278320019e-07,0.7594299414592423,0.3498447098614442,0.3848336648328187,0.046596966654337164,0.045542310955631264,4.071990533853641
